x	y	z	g
320	250	115	2.476002216
315	250	115	2.773122483
400	195	295	2.773122483
350	175	205	2.872162571
380	180	190	2.872162571
335	175	200	2.97120266
405	195	295	2.97120266
205	185	235	3.070242749
315	250	110	3.169282837
450	175	240	3.169282837
310	250	115	3.466403103
370	180	195	3.664483281
375	180	195	3.763523369
410	195	295	3.961603546
205	185	225	4.060643636
395	195	295	4.060643636
340	175	200	4.258723814
205	245	130	4.357763903
210	230	270	4.357763903
210	180	210	4.357763903
330	215	55	4.456803992
340	230	115	4.555844077
315	245	100	4.555844077
315	220	75	4.555844077
340	175	215	4.555844077
345	175	205	4.654884165
200	245	130	4.753924254
215	230	270	4.753924254
210	185	230	4.753924254
335	175	215	4.753924254
200	190	245	4.852964343
190	255	135	4.952004432
205	185	230	4.952004432
340	185	230	4.952004432
395	200	310	4.952004432
200	190	250	5.051044521
310	250	105	5.15008461
310	250	110	5.249124699
305	250	105	5.249124699
290	225	95	5.249124699
195	190	250	5.249124699
210	185	235	5.249124699
205	190	245	5.546244965
210	185	225	5.546244965
305	250	115	5.645285054
210	190	240	5.645285054
375	180	190	5.645285054
400	200	310	5.645285054
390	200	310	5.744325143
455	205	240	5.744325143
270	220	70	5.843365232
215	180	210	5.843365232
220	195	255	5.942405321
210	180	215	5.942405321
315	235	115	6.140485499
215	230	275	6.140485499
330	175	230	6.140485499
320	210	215	6.140485499
205	190	250	6.239525588
220	180	215	6.239525588
335	175	230	6.239525588
370	190	290	6.239525588
320	220	80	6.338565676
330	180	230	6.338565676
195	190	245	6.437605761
215	185	230	6.437605761
215	185	225	6.437605761
340	180	230	6.437605761
365	180	195	6.437605761
310	245	100	6.53664585
310	245	95	6.53664585
320	220	75	6.53664585
215	195	255	6.53664585
225	180	210	6.53664585
205	250	120	6.635685939
210	190	245	6.635685939
310	195	225	6.635685939
315	195	225	6.734726028
350	180	220	6.734726028
345	175	200	6.734726028
370	180	190	6.734726028
210	245	100	6.833766117
225	230	250	6.833766117
205	190	240	6.833766117
195	190	240	6.833766117
305	250	110	6.932806206
335	225	80	6.932806206
240	220	200	6.932806206
340	190	235	6.932806206
335	180	230	6.932806206
340	175	230	6.932806206
355	220	95	7.031846295
315	225	235	7.031846295
360	180	190	7.031846295
210	230	275	7.130886383
315	190	210	7.130886383
395	190	280	7.130886383
355	225	110	7.229926472
210	240	105	7.229926472
215	190	240	7.229926472
345	185	230	7.229926472
365	180	190	7.229926472
405	200	310	7.229926472
335	230	115	7.328966561
305	245	95	7.328966561
350	220	95	7.328966561
325	215	55	7.328966561
210	250	120	7.328966561
220	190	240	7.328966561
305	245	100	7.42800665
230	230	240	7.42800665
235	220	200	7.42800665
315	175	230	7.42800665
320	175	230	7.42800665
315	175	225	7.42800665
320	195	225	7.42800665
340	175	220	7.42800665
285	225	85	7.527046739
195	245	130	7.527046739
235	180	210	7.527046739
325	210	215	7.527046739
355	175	200	7.527046739
360	180	200	7.527046739
375	190	285	7.527046739
450	205	240	7.527046739
325	235	120	7.626086828
320	235	115	7.626086828
330	240	115	7.626086828
205	220	225	7.626086828
320	175	225	7.626086828
315	195	215	7.626086828
340	230	130	7.725126917
320	230	105	7.725126917
330	225	80	7.725126917
205	245	100	7.725126917
195	195	260	7.725126917
325	175	230	7.725126917
390	195	310	7.725126917
375	190	290	7.725126917
205	235	85	7.824167006
205	195	260	7.824167006
310	190	210	7.824167006
390	215	320	7.824167006
370	190	285	7.824167006
290	225	100	7.923207095
350	180	205	7.923207095
370	195	300	7.923207095
210	195	260	8.022247183
200	190	255	8.022247183
225	230	245	8.022247183
200	190	240	8.022247183
305	195	225	8.022247183
335	180	225	8.022247183
330	225	200	8.022247183
315	225	230	8.121287272
345	175	215	8.121287272
340	175	210	8.121287272
205	250	140	8.220327357
320	195	220	8.220327357
240	220	225	8.319367446
215	180	215	8.319367446
300	185	230	8.319367446
365	180	200	8.319367446
355	180	190	8.319367446
295	225	95	8.418407535
280	225	85	8.418407535
210	190	250	8.418407535
225	225	215	8.418407535
210	250	115	8.517447624
335	175	220	8.517447624
365	185	195	8.517447624
390	195	295	8.517447624
350	225	110	8.616487713
210	245	130	8.616487713
205	195	255	8.616487713
315	205	190	8.616487713
350	180	190	8.616487713
225	195	255	8.715527802
225	230	255	8.715527802
335	180	235	8.715527802
340	180	225	8.715527802
315	210	220	8.715527802
355	190	220	8.715527802
325	225	200	8.715527802
360	180	195	8.715527802
385	195	310	8.715527802
445	180	245	8.715527802
195	255	135	8.81456789
225	240	255	8.81456789
225	230	240	8.81456789
215	185	235	8.81456789
225	180	215	8.81456789
360	185	210	8.81456789
360	180	205	8.81456789
350	175	200	8.81456789
445	205	240	8.81456789
345	230	130	8.913607979
330	240	125	8.913607979
285	225	105	8.913607979
345	220	90	8.913607979
325	220	75	8.913607979
205	245	105	8.913607979
220	230	255	8.913607979
210	195	255	8.913607979
215	225	250	8.913607979
230	230	245	8.913607979
350	185	230	8.913607979
350	180	200	8.913607979
380	190	290	8.913607979
330	235	120	9.012648068
310	235	115	9.012648068
315	230	105	9.012648068
285	225	95	9.012648068
340	225	85	9.012648068
200	195	260	9.012648068
220	240	255	9.012648068
240	180	210	9.012648068
230	180	210	9.012648068
355	185	210	9.012648068
390	195	315	9.012648068
310	240	115	9.111688157
350	225	105	9.111688157
210	225	245	9.111688157
345	190	235	9.111688157
325	215	230	9.111688157
335	185	230	9.111688157
385	215	320	9.111688157
420	195	295	9.111688157
385	200	285	9.111688157
320	235	130	9.210728246
215	255	115	9.210728246
230	245	110	9.210728246
215	190	245	9.210728246
230	225	215	9.210728246
260	215	205	9.210728246
330	210	215	9.210728246
275	220	70	9.309768335
220	190	250	9.309768335
350	190	235	9.309768335
335	180	220	9.309768335
380	200	285	9.309768335
300	245	100	9.408808424
310	225	230	9.408808424
345	175	220	9.408808424
370	185	195	9.408808424
345	225	110	9.507848513
350	220	90	9.507848513
335	220	70	9.507848513
210	245	125	9.507848513
200	245	105	9.507848513
205	240	105	9.507848513
230	225	240	9.507848513
330	235	225	9.507848513
330	235	130	9.606888602
345	220	95	9.606888602
265	220	70	9.606888602
315	200	240	9.606888602
305	185	230	9.606888602
325	175	225	9.606888602
355	185	195	9.606888602
370	195	290	9.606888602
315	240	115	9.70592869
340	225	105	9.70592869
315	220	80	9.70592869
200	225	245	9.70592869
235	220	220	9.70592869
340	180	220	9.70592869
335	230	210	9.70592869
405	195	290	9.70592869
335	235	110	9.804968779
315	230	100	9.804968779
325	220	80	9.804968779
205	230	270	9.804968779
240	225	240	9.804968779
215	225	240	9.804968779
320	190	210	9.804968779
335	220	205	9.804968779
330	215	175	9.804968779
390	205	300	9.804968779
310	240	80	9.904008868
190	195	255	9.904008868
230	230	250	9.904008868
220	185	235	9.904008868
320	220	235	9.904008868
325	185	235	9.904008868
360	230	230	9.904008868
450	180	240	9.904008868
325	240	125	10.00304895
325	240	115	10.00304895
205	250	115	10.00304895
225	245	110	10.00304895
230	230	255	10.00304895
195	195	255	10.00304895
225	220	220	10.00304895
340	175	225	10.00304895
355	180	200	10.00304895
415	195	295	10.00304895
440	180	245	10.00304895
300	250	115	10.10208904
210	250	135	10.10208904
305	200	235	10.10208904
345	180	220	10.10208904
400	195	285	10.10208904
320	215	70	10.20112913
200	255	135	10.20112913
215	195	265	10.20112913
215	230	265	10.20112913
235	230	250	10.20112913
215	225	245	10.20112913
235	225	240	10.20112913
220	225	240	10.20112913
245	185	225	10.20112913
315	210	225	10.20112913
325	235	225	10.20112913
340	175	205	10.20112913
335	220	190	10.20112913
395	215	320	10.20112913
410	195	290	10.20112913
385	190	290	10.20112913
325	245	105	10.30016922
295	225	100	10.30016922
285	220	90	10.30016922
310	220	90	10.30016922
310	220	75	10.30016922
205	225	245	10.30016922
245	220	200	10.30016922
385	185	210	10.30016922
390	195	320	10.30016922
340	215	70	10.39920931
210	235	115	10.39920931
330	185	235	10.39920931
345	180	230	10.39920931
330	230	210	10.39920931
430	180	265	10.39920931
300	250	120	10.4982494
290	235	100	10.4982494
200	255	125	10.4982494
205	240	100	10.4982494
225	225	230	10.4982494
325	180	230	10.4982494
400	200	300	10.4982494
325	235	130	10.59728949
315	235	100	10.59728949
195	250	120	10.59728949
205	225	260	10.59728949
225	190	250	10.59728949
310	195	215	10.59728949
315	210	215	10.59728949
315	215	70	10.69632958
200	250	120	10.69632958
360	185	215	10.69632958
365	220	340	10.69632958
205	255	125	10.79536966
345	180	200	10.79536966
375	185	195	10.79536966
405	195	285	10.79536966
445	200	225	10.79536966
310	235	100	10.89440975
200	195	255	10.89440975
230	220	220	10.89440975
365	185	215	10.89440975
365	190	285	10.89440975
440	175	245	10.89440975
325	230	95	10.99344984
210	225	260	10.99344984
300	195	225	10.99344984
335	235	225	10.99344984
345	175	210	10.99344984
360	185	195	10.99344984
365	190	290	10.99344984
400	190	280	10.99344984
300	225	100	11.09248993
225	245	120	11.09248993
230	195	255	11.09248993
315	220	235	11.09248993
335	190	235	11.09248993
305	190	215	11.09248993
345	185	210	11.09248993
320	210	205	11.09248993
355	175	180	11.09248993
385	205	310	11.09248993
445	180	240	11.09248993
320	235	120	11.19153002
290	225	85	11.19153002
230	230	260	11.19153002
330	175	225	11.19153002
350	185	225	11.19153002
325	230	220	11.19153002
310	190	215	11.19153002
395	200	315	11.19153002
335	235	125	11.29057011
330	230	120	11.29057011
325	230	100	11.29057011
325	240	100	11.29057011
215	250	120	11.29057011
220	225	250	11.29057011
230	185	235	11.29057011
225	225	235	11.29057011
350	185	210	11.29057011
335	240	120	11.3896102
320	225	95	11.3896102
270	225	80	11.3896102
330	220	70	11.3896102
325	215	60	11.3896102
220	240	95	11.3896102
210	230	265	11.3896102
215	220	220	11.3896102
310	220	225	11.3896102
350	190	225	11.3896102
355	230	220	11.3896102
360	175	180	11.3896102
285	235	100	11.48865029
220	190	245	11.48865029
220	230	245	11.48865029
340	185	235	11.48865029
315	220	230	11.48865029
320	230	220	11.48865029
345	200	220	11.48865029
315	205	195	11.48865029
305	245	125	11.58769038
330	245	115	11.58769038
325	230	105	11.58769038
330	220	75	11.58769038
190	250	140	11.58769038
215	240	105	11.58769038
215	245	100	11.58769038
220	225	255	11.58769038
215	230	255	11.58769038
220	230	240	11.58769038
230	225	230	11.58769038
325	200	240	11.58769038
310	225	225	11.58769038
330	180	225	11.58769038
325	195	220	11.58769038
385	200	310	11.58769038
335	230	120	11.68673046
340	230	110	11.68673046
220	230	265	11.68673046
205	190	255	11.68673046
235	225	230	11.68673046
340	220	230	11.68673046
315	220	225	11.68673046
315	220	220	11.68673046
355	185	215	11.68673046
340	190	210	11.68673046
330	220	205	11.68673046
355	205	330	11.68673046
385	205	300	11.68673046
360	190	275	11.68673046
290	225	105	11.78577055
340	230	105	11.78577055
295	220	60	11.78577055
185	250	140	11.78577055
235	220	225	11.78577055
235	215	210	11.78577055
260	210	190	11.78577055
360	185	220	11.78577055
315	220	205	11.78577055
405	195	310	11.78577055
365	190	275	11.78577055
230	240	255	11.88481064
205	225	240	11.88481064
245	195	235	11.88481064
320	215	230	11.88481064
345	220	230	11.88481064
320	205	190	11.88481064
395	195	300	11.88481064
315	240	130	11.98385073
305	250	120	11.98385073
205	250	135	11.98385073
215	225	260	11.98385073
235	230	245	11.98385073
355	230	230	11.98385073
345	185	225	11.98385073
360	195	305	11.98385073
390	200	285	11.98385073
235	230	255	12.08289082
235	230	240	12.08289082
220	220	220	12.08289082
330	215	230	12.08289082
320	210	220	12.08289082
400	190	260	12.08289082
320	240	115	12.1819309
330	230	115	12.1819309
340	225	100	12.1819309
325	220	70	12.1819309
335	215	70	12.1819309
290	220	65	12.1819309
355	185	230	12.1819309
315	195	220	12.1819309
345	200	215	12.1819309
325	210	210	12.1819309
395	195	315	12.1819309
365	195	300	12.1819309
430	180	255	12.1819309
320	245	105	12.28097099
220	230	250	12.28097099
225	185	235	12.28097099
330	180	220	12.28097099
345	180	205	12.28097099
335	225	100	12.38001108
335	225	85	12.38001108
255	215	205	12.38001108
360	190	230	12.38001108
310	190	220	12.38001108
340	180	210	12.38001108
215	235	265	12.47905117
210	195	265	12.47905117
300	210	230	12.47905117
340	200	220	12.47905117
370	185	215	12.47905117
340	180	205	12.47905117
405	195	300	12.47905117
380	205	300	12.47905117
305	235	115	12.57809126
295	240	110	12.57809126
305	230	105	12.57809126
290	225	75	12.57809126
210	255	115	12.57809126
355	185	220	12.57809126
325	230	215	12.57809126
335	190	210	12.57809126
390	200	315	12.57809126
420	215	285	12.57809126
440	205	240	12.57809126
330	235	125	12.67713135
320	220	50	12.67713135
210	255	125	12.67713135
210	240	115	12.67713135
220	225	245	12.67713135
225	190	240	12.67713135
320	180	235	12.67713135
310	220	220	12.67713135
320	195	215	12.67713135
325	205	180	12.67713135
330	180	215	12.77617144
355	180	205	12.77617144
315	190	200	12.77617144
380	215	320	12.77617144
350	205	320	12.77617144
370	190	295	12.77617144
410	220	280	12.77617144
395	185	245	12.77617144
200	245	145	12.87521153
220	225	265	12.87521153
